C,C,W,W,W,D,D,G,UTIL,,Instructions
,,,,,,,,,,1. Locate the player you want to select in the list below 
,,,,,,,,,,2. Copy the ID of your player (you can use the Name + ID column or the ID column) 
,,,,,,,,,,3. Paste the ID into the roster position desired 
,,,,,,,,,,4. You must include an ID for each player; you cannot use just the player's name 
,,,,,,,,,,5. You can create up to 500 lineups per file 
 
,,,,,,,,,,Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
,,,,,,,,,,C,Nathan MacKinnon (36808541),Nathan MacKinnon,36808541,C/UTIL,9900,VGK@COL 11/27/2024 10:00PM ET,COL,16.11
,,,,,,,,,,RW,Nikita Kucherov (36808861),Nikita Kucherov,36808861,W/UTIL,9800,WSH@TBL 11/27/2024 07:30PM ET,TBL,18.1
,,,,,,,,,,C,Auston Matthews (36808543),Auston Matthews,36808543,C/UTIL,9500,TOR@FLA 11/27/2024 07:30PM ET,TOR,15.67
,,,,,,,,,,LW,Kirill Kaprizov (36808863),Kirill Kaprizov,36808863,W/UTIL,9400,MIN@BUF 11/27/2024 07:00PM ET,MIN,17.74
,,,,,,,,,,C,Jack Eichel (36808545),Jack Eichel,36808545,C/UTIL,9100,VGK@COL 11/27/2024 10:00PM ET,VGK,15.79
,,,,,,,,,,LW,Artemi Panarin (36808865),Artemi Panarin,36808865,W/UTIL,9100,NYR@CAR 11/27/2024 07:00PM ET,NYR,15.47
,,,,,,,,,,RW,David Pastrnak (36808867),David Pastrnak,36808867,W/UTIL,8800,BOS@NYI 11/27/2024 07:30PM ET,BOS,13.10
,,,,,,,,,,RW,Mikko Rantanen (36808869),Mikko Rantanen,36808869,W/UTIL,8500,VGK@COL 11/27/2024 10:00PM ET,COL,16.54
,,,,,,,,,,G,Jake Oettinger (36810001),Jake Oettinger,36810001,G,8500,DAL@CHI 11/27/2024 08:30PM ET,DAL,13.49
,,,,,,,,,,G,Casey DeSmith (36810002),Casey DeSmith,36810002,G,8500,DAL@CHI 11/27/2024 08:30PM ET,DAL,10.48
,,,,,,,,,,G,Joey Daccord (36810003),Joey Daccord,36810003,G,8400,ANA@SEA 11/27/2024 10:00PM ET,SEA,15.63
,,,,,,,,,,G,Philipp Grubauer (36810004),Philipp Grubauer,36810004,G,8400,ANA@SEA 11/27/2024 10:00PM ET,SEA,5.96
,,,,,,,,,,G,Linus Ullmark (36810005),Linus Ullmark,36810005,G,8400,OTT@SJS 11/27/2024 10:30PM ET,OTT,7.1
,,,,,,,,,,G,Anton Forsberg (36810006),Anton Forsberg,36810006,G,8400,OTT@SJS 11/27/2024 10:30PM ET,OTT,10.94
,,,,,,,,,,D,Cale Makar (36809497),Cale Makar,36809497,D/UTIL,8300,VGK@COL 11/27/2024 10:00PM ET,COL,16.06
,,,,,,,,,,G,Jacob Markstrom (36810007),Jacob Markstrom,36810007,G,8300,STL@NJD 11/27/2024 07:00PM ET,NJD,12.39
,,,,,,,,,,G,Jake Allen (36810008),Jake Allen,36810008,G,8300,STL@NJD 11/27/2024 07:00PM ET,NJD,14.55
,,,,,,,,,,G,Juuse Saros (36810009),Juuse Saros,36810009,G,8300,PHI@NSH 11/27/2024 08:00PM ET,NSH,12.98
,,,,,,,,,,LW,Brady Tkachuk (36808871),Brady Tkachuk,36808871,W/UTIL,8300,OTT@SJS 11/27/2024 10:30PM ET,OTT,15.86
,,,,,,,,,,G,Alexandar Georgiev (36810010),Alexandar Georgiev,36810010,G,8200,VGK@COL 11/27/2024 10:00PM ET,COL,7.08
,,,,,,,,,,G,Justus Annunen (36810011),Justus Annunen,36810011,G,8200,VGK@COL 11/27/2024 10:00PM ET,COL,6.39
,,,,,,,,,,C,Jack Hughes (36808547),Jack Hughes,36808547,C/UTIL,8200,STL@NJD 11/27/2024 07:00PM ET,NJD,13.20
,,,,,,,,,,G,Andrei Vasilevskiy (36810012),Andrei Vasilevskiy,36810012,G,8200,WSH@TBL 11/27/2024 07:30PM ET,TBL,13.06
,,,,,,,,,,RW,Matt Boldy (36808873),Matt Boldy,36808873,W/UTIL,8100,MIN@BUF 11/27/2024 07:00PM ET,MIN,14.78
,,,,,,,,,,G,Spencer Martin (36810014),Spencer Martin,36810014,G,8100,NYR@CAR 11/27/2024 07:00PM ET,CAR,4.4
,,,,,,,,,,G,Yaniv Perets (36810015),Yaniv Perets,36810015,G,8100,NYR@CAR 11/27/2024 07:00PM ET,CAR,0
,,,,,,,,,,G,Sergei Bobrovsky (36810016),Sergei Bobrovsky,36810016,G,8100,TOR@FLA 11/27/2024 07:30PM ET,FLA,9.98
,,,,,,,,,,G,Spencer Knight (36810017),Spencer Knight,36810017,G,8100,TOR@FLA 11/27/2024 07:30PM ET,FLA,10.25
,,,,,,,,,,C,Sidney Crosby (36808549),Sidney Crosby,36808549,C/UTIL,8100,VAN@PIT 11/27/2024 07:30PM ET,PIT,12.28
,,,,,,,,,,G,Elvis Merzlikins (36810013),Elvis Merzlikins,36810013,G,8100,MTL@CBJ 11/27/2024 07:30PM ET,CBJ,11.16
,,,,,,,,,,G,Scott Wedgewood (36810018),Scott Wedgewood,36810018,G,8100,PHI@NSH 11/27/2024 08:00PM ET,NSH,6.5
,,,,,,,,,,G,Filip Gustavsson (36810020),Filip Gustavsson,36810020,G,8000,MIN@BUF 11/27/2024 07:00PM ET,MIN,15.49
,,,,,,,,,,G,Marc-Andre Fleury (36810021),Marc-Andre Fleury,36810021,G,8000,MIN@BUF 11/27/2024 07:00PM ET,MIN,13.88
,,,,,,,,,,G,Jonas Johansson (36810019),Jonas Johansson,36810019,G,8000,WSH@TBL 11/27/2024 07:30PM ET,TBL,5.72
,,,,,,,,,,LW,Kyle Connor (36808875),Kyle Connor,36808875,W/UTIL,8000,WPG@LAK 11/27/2024 10:00PM ET,WPG,15.36
,,,,,,,,,,G,Connor Hellebuyck (36810022),Connor Hellebuyck,36810022,G,8000,WPG@LAK 11/27/2024 10:00PM ET,WPG,18.01
,,,,,,,,,,G,Pyotr Kochetkov (36810024),Pyotr Kochetkov,36810024,G,7900,NYR@CAR 11/27/2024 07:00PM ET,CAR,12.62
,,,,,,,,,,G,Frederik Andersen (36810025),Frederik Andersen,36810025,G,7900,NYR@CAR 11/27/2024 07:00PM ET,CAR,15.88
,,,,,,,,,,G,Cam Talbot (36810026),Cam Talbot,36810026,G,7900,CGY@DET 11/27/2024 07:30PM ET,DET,15.06
,,,,,,,,,,G,Alex Lyon (36810027),Alex Lyon,36810027,G,7900,CGY@DET 11/27/2024 07:30PM ET,DET,12.78
,,,,,,,,,,RW,Sam Reinhart (36808877),Sam Reinhart,36808877,W/UTIL,7900,TOR@FLA 11/27/2024 07:30PM ET,FLA,15.85
,,,,,,,,,,G,Daniil Tarasov (36810023),Daniil Tarasov,36810023,G,7900,MTL@CBJ 11/27/2024 07:30PM ET,CBJ,6.54
